[00180] DAY      meanV=171.8 EO=1 IR=1 | fused[EO+IR:0.62] | tracks[#1@(648,782)] reg[warmup n=181 r=nanpx]
[00181] DAY      meanV=171.8 EO=1 IR=1 | fused[EO+IR:0.64] | tracks[#1@(660,782)] reg[warmup n=182 r=nanpx]
[00182] DAY      meanV=171.8 EO=1 IR=1 | fused[EO+IR:0.61] | tracks[#1@(667,782)] reg[warmup n=183 r=nanpx]
[00183] DAY      meanV=171.8 EO=1 IR=1 | fused[EO+IR:0.64] | tracks[#1@(678,782)] reg[warmup n=184 r=nanpx]
[00184] DAY      meanV=171.8 EO=1 IR=1 | fused[EO+IR:0.64] | tracks[#1@(687,782)] reg[warmup n=185 r=nanpx]
[00185] DAY      meanV=171.8 EO=1 IR=1 | fused[EO+IR:0.64] | tracks[#1@(697,782)] reg[warmup n=186 r=nanpx]
[00186] DAY      meanV=171.8 EO=1 IR=1 | fused[EO+IR:0.65] | tracks[#1@(701,782)] reg[warmup n=187 r=nanpx]
[00187] DAY      meanV=171.8 EO=1 IR=1 | fused[EO+IR:0.65] | tracks[#1@(711,782)] reg[warmup n=188 r=nanpx]
[00188] DAY      meanV=171.8 EO=1 IR=1 | fused[-] | tracks[#1@(721,782)] reg[warmup n=189 r=nanpx]
[00189] DAY      meanV=171.8 EO=1 IR=1 | fused[-] | tracks[#1@(730,782)] reg[warmup n=190 r=nanpx]
[00190] DAY      meanV=171.8 EO=1 IR=1 | fused[-] | tracks[#1@(739,782)] reg[warmup n=191 r=nanpx]
[00191] DAY      meanV=171.8 EO=1 IR=1 | fused[-] | tracks[#1@(749,783)] reg[warmup n=192 r=nanpx]
[00192] DAY      meanV=171.8 EO=1 IR=1 | fused[-] | tracks[#1@(758,783)] reg[warmup n=193 r=nanpx]
[00193] DAY      meanV=171.8 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=194 r=nanpx]
[00194] DAY      meanV=171.8 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=195 r=nanpx]
[00195] DAY      meanV=171.8 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=196 r=nanpx]
[00196] DAY      meanV=171.8 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=197 r=nanpx]
[00197] DAY      meanV=171.8 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=198 r=nanpx]
[00198] DAY      meanV=171.8 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=199 r=nanpx]
[00199] DAY      meanV=171.8 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=200 r=nanpx]
[00200] DAY      meanV=171.8 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=201 r=nanpx]
[00201] DAY      meanV=171.8 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=202 r=nanpx]
[00202] DAY      meanV=171.8 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=203 r=nanpx]
[00203] DAY      meanV=171.4 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=204 r=nanpx]
[00204] DAY      meanV=171.0 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=205 r=nanpx]
[00205] DAY      meanV=170.4 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=206 r=nanpx]
