[00158] DAY      meanV=172.5 EO=2 IR=1 | fused[EO+IR:0.62] | tracks[#1@(386,776)] reg[LOCKED n=59 r=nanpx]
[00159] DAY      meanV=172.0 EO=1 IR=1 | fused[EO+IR:0.60] | tracks[#1@(398,776)] reg[LOCKED n=60 r=nanpx]
[00160] DAY      meanV=171.6 EO=1 IR=1 | fused[EO+IR:0.62] | tracks[#1@(413,776)] reg[LOCKED n=61 r=nanpx]
[00161] DAY      meanV=171.5 EO=1 IR=1 | fused[EO+IR:0.61] | tracks[#1@(428,776)] reg[LOCKED n=62 r=nanpx]
[00162] DAY      meanV=171.5 EO=2 IR=1 | fused[EO+IR:0.62] | tracks[#1@(433,776)] reg[LOCKED n=62 r=nanpx]
[00163] DAY      meanV=171.5 EO=1 IR=1 | fused[EO+IR:0.61] | tracks[#1@(442,776)] reg[LOCKED n=63 r=nanpx]
[00164] DAY      meanV=171.5 EO=1 IR=1 | fused[EO+IR:0.61] | tracks[#1@(455,776)] reg[LOCKED n=64 r=nanpx]
[00165] DAY      meanV=171.5 EO=1 IR=1 | fused[EO+IR:0.60] | tracks[#1@(470,776)] reg[LOCKED n=65 r=nanpx]
[00166] DAY      meanV=171.5 EO=2 IR=1 | fused[EO+IR:0.62] | tracks[#1@(484,777)] reg[LOCKED n=65 r=nanpx]
[00167] DAY      meanV=171.6 EO=1 IR=1 | fused[EO+IR:0.63] | tracks[#1@(495,776)] reg[LOCKED n=66 r=nanpx]
[00168] DAY      meanV=171.6 EO=1 IR=1 | fused[EO+IR:0.63] | tracks[#1@(505,776)] reg[LOCKED n=67 r=nanpx]
[00169] DAY      meanV=171.6 EO=1 IR=1 | fused[EO+IR:0.62] | tracks[#1@(516,776)] reg[LOCKED n=68 r=nanpx]
[00170] DAY      meanV=171.7 EO=1 IR=1 | fused[EO+IR:0.60] | tracks[#1@(528,776)] reg[LOCKED n=69 r=nanpx]
[00171] DAY      meanV=171.7 EO=1 IR=1 | fused[EO+IR:0.62] | tracks[#1@(543,775)] reg[LOCKED n=70 r=nanpx]
[00172] DAY      meanV=171.7 EO=1 IR=1 | fused[EO+IR:0.60] | tracks[#1@(554,776)] reg[LOCKED n=71 r=nanpx]
[00173] DAY      meanV=171.7 EO=1 IR=1 | fused[EO+IR:0.61] | tracks[#1@(566,776)] reg[LOCKED n=72 r=nanpx]
[00174] DAY      meanV=171.7 EO=1 IR=1 | fused[EO+IR:0.61] | tracks[#1@(572,776)] reg[LOCKED n=73 r=nanpx]
[00175] DAY      meanV=171.7 EO=2 IR=1 | fused[EO+IR:0.62] | tracks[#1@(586,776)] reg[LOCKED n=73 r=nanpx]
[00176] DAY      meanV=171.7 EO=1 IR=1 | fused[EO+IR:0.62] | tracks[#1@(598,776)] reg[LOCKED n=74 r=nanpx]
